Sanity: VQ-VAE latent should be [B, 64, 4, 4] -> (64, 64, 4, 4)
Sanity: VQ-VAE token map should be [B, 4, 4] -> (64, 4, 4)
{'epoch': 14, 'step': 25, 'loss': 0.027338944375514984, 'perplexity': 216.4608917236328, 'dead_codes': 0, 'recon_mse': 0.004466739483177662, 'codebook_loss': 0.018297765403985977, 'commitment_loss': 0.018297765403985977, 'quantization_gap': 1.1710569858551025}
{'epoch': 14, 'step': 50, 'loss': 0.02737428992986679, 'perplexity': 199.81527709960938, 'dead_codes': 0, 'recon_mse': 0.004620179533958435, 'codebook_loss': 0.018203288316726685, 'commitment_loss': 0.018203288316726685, 'quantization_gap': 1.1650104522705078}
{'epoch': 15, 'step': 0, 'loss': 0.023404257372021675, 'perplexity': 197.7352752685547, 'dead_codes': 4, 'recon_mse': 0.003905958030372858, 'codebook_loss': 0.015598639845848083, 'commitment_loss': 0.015598639845848083, 'quantization_gap': 0.9983129501342773}
{'epoch': 15, 'step': 25, 'loss': 0.0227911826223135, 'perplexity': 195.5675048828125, 'dead_codes': 1, 'recon_mse': 0.0039922576397657394, 'codebook_loss': 0.015039140358567238, 'commitment_loss': 0.015039140358567238, 'quantization_gap': 0.9625049233436584}
{'epoch': 15, 'step': 50, 'loss': 0.02272988297045231, 'perplexity': 211.50668334960938, 'dead_codes': 0, 'recon_mse': 0.003816902404651046, 'codebook_loss': 0.015130383893847466, 'commitment_loss': 0.015130383893847466, 'quantization_gap': 0.9683445692062378}
{'epoch': 16, 'step': 0, 'loss': 0.02329503931105137, 'perplexity': 200.77398681640625, 'dead_codes': 2, 'recon_mse': 0.0038571644108742476, 'codebook_loss': 0.015550299547612667, 'commitment_loss': 0.015550299547612667, 'quantization_gap': 0.9952191710472107}
{'epoch': 16, 'step': 25, 'loss': 0.023384852334856987, 'perplexity': 198.50767517089844, 'dead_codes': 0, 'recon_mse': 0.0034217187203466892, 'codebook_loss': 0.015970507636666298, 'commitment_loss': 0.015970507636666298, 'quantization_gap': 1.022112488746643}
{'epoch': 16, 'step': 50, 'loss': 0.022401314228773117, 'perplexity': 188.85765075683594, 'dead_codes': 0, 'recon_mse': 0.0038166739977896214, 'codebook_loss': 0.014867711812257767, 'commitment_loss': 0.014867711812257767, 'quantization_gap': 0.9515335559844971}
{'epoch': 17, 'step': 0, 'loss': 0.02022634819149971, 'perplexity': 189.2316436767578, 'dead_codes': 6, 'recon_mse': 0.0032646008767187595, 'codebook_loss': 0.01356939785182476, 'commitment_loss': 0.01356939785182476, 'quantization_gap': 0.8684414625167847}
{'epoch': 17, 'step': 25, 'loss': 0.02322256937623024, 'perplexity': 201.34750366210938, 'dead_codes': 1, 'recon_mse': 0.0035646921023726463, 'codebook_loss': 0.015726301819086075, 'commitment_loss': 0.015726301819086075, 'quantization_gap': 1.0064833164215088}
